level,actual_group,predicted_group,count,matched_row_total,rate_within_matched_row
hoi_level,seen,seen,22064,22194,0.9941425610525367
hoi_level,seen,unseen,130,22194,0.005857438947463278
hoi_level,seen,unmatched,6223,22194,
hoi_level,unseen,seen,165,4277,0.03857844283376198
hoi_level,unseen,unseen,4112,4277,0.961421557166238
hoi_level,unseen,unmatched,711,4277,
object_level,seen,seen,22064,22194,0.9941425610525367
object_level,seen,unseen,130,22194,0.005857438947463278
object_level,seen,unmatched,6223,22194,
object_level,unseen,seen,165,4277,0.03857844283376198
object_level,unseen,unseen,4112,4277,0.961421557166238
object_level,unseen,unmatched,711,4277,
